params,mean_accuracy,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.554,0.579,0.579,0.444,0.611,0.556
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.598,0.632,0.579,0.556,0.611,0.611
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.543,0.474,0.632,0.5,0.556,0.556
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.587,0.526,0.684,0.5,0.611,0.611
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.522,0.421,0.632,0.444,0.5,0.611
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.564,0.474,0.737,0.444,0.556,0.611
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.629,0.737,0.632,0.667,0.556,0.556
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.554,0.474,0.632,0.5,0.611,0.556
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.554,0.526,0.632,0.556,0.5,0.556
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.576,0.474,0.684,0.5,0.611,0.611
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.532,0.526,0.579,0.556,0.5,0.5
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.544,0.421,0.632,0.5,0.556,0.611
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.609,0.579,0.579,0.667,0.667,0.556
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.577,0.474,0.632,0.556,0.667,0.556
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.598,0.579,0.632,0.667,0.611,0.5
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.566,0.421,0.632,0.556,0.667,0.556
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.587,0.526,0.632,0.611,0.611,0.556
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.555,0.421,0.632,0.5,0.667,0.556
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.512,0.368,0.579,0.5,0.556,0.556
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.554,0.474,0.632,0.5,0.556,0.611
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.522,0.368,0.632,0.444,0.556,0.611
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.554,0.474,0.632,0.556,0.556,0.556
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.523,0.368,0.579,0.556,0.5,0.611
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.598,0.526,0.684,0.556,0.556,0.667
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.532,0.474,0.632,0.444,0.5,0.611
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.587,0.474,0.737,0.5,0.667,0.556
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.522,0.421,0.632,0.5,0.444,0.611
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.544,0.421,0.579,0.556,0.556,0.611
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.533,0.421,0.579,0.556,0.5,0.611
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.544,0.421,0.579,0.5,0.611,0.611
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.587,0.526,0.632,0.611,0.611,0.556
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.565,0.474,0.632,0.5,0.667,0.556
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.576,0.526,0.632,0.611,0.556,0.556
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.544,0.421,0.579,0.5,0.667,0.556
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.577,0.474,0.632,0.667,0.556,0.556
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.534,0.421,0.526,0.5,0.667,0.556
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.533,0.368,0.632,0.444,0.556,0.667
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.587,0.474,0.684,0.556,0.667,0.556
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.533,0.421,0.579,0.556,0.5,0.611
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.587,0.526,0.632,0.556,0.611,0.611
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.544,0.421,0.579,0.556,0.5,0.667
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.598,0.526,0.684,0.556,0.611,0.611
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.533,0.421,0.579,0.5,0.556,0.611
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.575,0.474,0.737,0.444,0.611,0.611
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.533,0.421,0.579,0.5,0.556,0.611
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.567,0.421,0.579,0.611,0.611,0.611
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.533,0.421,0.579,0.556,0.5,0.611
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.545,0.316,0.632,0.556,0.611,0.611
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.609,0.526,0.632,0.667,0.611,0.611
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.587,0.474,0.684,0.611,0.556,0.611
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.62,0.526,0.632,0.667,0.611,0.667
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.587,0.474,0.684,0.556,0.611,0.611
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.599,0.474,0.632,0.611,0.611,0.667
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.588,0.526,0.526,0.611,0.667,0.611
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.598,0.632,0.526,0.5,0.667,0.667
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.576,0.579,0.579,0.444,0.611,0.667
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.619,0.684,0.579,0.667,0.611,0.556
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.608,0.684,0.632,0.444,0.611,0.667
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.553,0.579,0.632,0.5,0.5,0.556
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.597,0.632,0.632,0.444,0.667,0.611
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.588,0.526,0.526,0.667,0.556,0.667
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.565,0.579,0.579,0.444,0.611,0.611
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.598,0.632,0.526,0.5,0.667,0.667
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.587,0.632,0.579,0.444,0.611,0.667
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.651,0.789,0.632,0.611,0.611,0.611
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.64,0.789,0.632,0.444,0.611,0.722
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.586,0.684,0.579,0.444,0.667,0.556
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.596,0.684,0.632,0.444,0.611,0.611
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.566,0.526,0.526,0.556,0.667,0.556
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.575,0.632,0.579,0.444,0.611,0.611
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.587,0.474,0.684,0.556,0.611,0.611
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.597,0.579,0.684,0.444,0.611,0.667
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.586,0.632,0.632,0.444,0.611,0.611
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.587,0.579,0.632,0.5,0.611,0.611
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.608,0.632,0.684,0.5,0.611,0.611
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.63,0.632,0.684,0.556,0.611,0.667
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.619,0.632,0.684,0.5,0.611,0.667
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.587,0.474,0.684,0.556,0.611,0.611
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.597,0.579,0.684,0.444,0.611,0.667
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.586,0.632,0.632,0.444,0.611,0.611
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.587,0.579,0.632,0.5,0.611,0.611
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.608,0.632,0.684,0.5,0.611,0.611
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.63,0.632,0.684,0.556,0.611,0.667
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.619,0.632,0.684,0.5,0.611,0.667
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.609,0.579,0.632,0.556,0.667,0.611
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.597,0.579,0.684,0.444,0.611,0.667
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.586,0.632,0.632,0.444,0.611,0.611
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.598,0.579,0.632,0.5,0.667,0.611
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.608,0.632,0.684,0.5,0.611,0.611
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.63,0.632,0.684,0.556,0.611,0.667
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.629,0.684,0.684,0.5,0.611,0.667
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.609,0.579,0.632,0.556,0.667,0.611
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.597,0.579,0.684,0.444,0.611,0.667
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.586,0.632,0.632,0.444,0.611,0.611
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.598,0.579,0.632,0.5,0.667,0.611
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.608,0.632,0.684,0.5,0.611,0.611
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.63,0.632,0.684,0.556,0.611,0.667
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.629,0.684,0.684,0.5,0.611,0.667
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.587,0.474,0.684,0.556,0.611,0.611
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.597,0.579,0.684,0.444,0.611,0.667
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.586,0.632,0.632,0.444,0.611,0.611
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.587,0.579,0.632,0.5,0.611,0.611
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.608,0.632,0.684,0.5,0.611,0.611
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.63,0.632,0.684,0.556,0.611,0.667
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.619,0.632,0.684,0.5,0.611,0.667
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.587,0.474,0.684,0.556,0.611,0.611
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.597,0.579,0.684,0.444,0.611,0.667
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.586,0.632,0.632,0.444,0.611,0.611
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.587,0.579,0.632,0.5,0.611,0.611
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.608,0.632,0.684,0.5,0.611,0.611
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.63,0.632,0.684,0.556,0.611,0.667
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.619,0.632,0.684,0.5,0.611,0.667
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.587,0.474,0.684,0.556,0.611,0.611
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.597,0.579,0.684,0.444,0.611,0.667
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.586,0.632,0.632,0.444,0.611,0.611
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.587,0.579,0.632,0.5,0.611,0.611
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.608,0.632,0.684,0.5,0.611,0.611
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.63,0.632,0.684,0.556,0.611,0.667
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.619,0.632,0.684,0.5,0.611,0.667
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.587,0.474,0.684,0.556,0.611,0.611
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.597,0.579,0.684,0.444,0.611,0.667
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.586,0.632,0.632,0.444,0.611,0.611
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.587,0.579,0.632,0.5,0.611,0.611
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.608,0.632,0.684,0.5,0.611,0.611
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.63,0.632,0.684,0.556,0.611,0.667
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.619,0.632,0.684,0.5,0.611,0.667
"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.619,0.632,0.632,0.611,0.611,0.611
"{'C': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",0.619,0.632,0.632,0.611,0.611,0.611
"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.619,0.632,0.632,0.611,0.611,0.611
"{'C': 0.01, 'gamma': 'auto', 'kernel': 'linear'}",0.619,0.632,0.632,0.611,0.611,0.611
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.619,0.632,0.632,0.611,0.611,0.611
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.575,0.632,0.632,0.611,0.389,0.611
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.619,0.632,0.632,0.611,0.611,0.611
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.575,0.632,0.632,0.611,0.389,0.611
"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.575,0.632,0.632,0.611,0.389,0.611
"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.575,0.632,0.632,0.611,0.389,0.611
"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.532,0.579,0.526,0.5,0.444,0.611
"{'C': 1, 'gamma': 'auto', 'kernel': 'linear'}",0.575,0.632,0.632,0.611,0.389,0.611
"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.531,0.579,0.632,0.389,0.389,0.667
"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.575,0.632,0.632,0.611,0.389,0.611
"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.598,0.684,0.526,0.556,0.611,0.611
"{'C': 10, 'gamma': 'auto', 'kernel': 'linear'}",0.575,0.632,0.632,0.611,0.389,0.611
"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.576,0.632,0.526,0.5,0.556,0.667
"{'C': 100, 'gamma': 'scale', 'kernel': 'linear'}",0.575,0.632,0.632,0.611,0.389,0.611
"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",0.596,0.737,0.579,0.556,0.611,0.5
"{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}",0.575,0.632,0.632,0.611,0.389,0.611
